"kanton","jahr","total","reformierte","katholiken","andere_christen","juden","islamisten","andere_religionen","konfessionslose"
"Total","2014","6829610","1742823","2585788","392070","15893","346208","90469","1572027"
"Waadt","2014","619668","159837","191977","37624","2033","30458","8217","175774"
"Wallis","2014","276351","15939","203587","7453","249","8198","1619","34352"
"Genf","2014","360792","35810","129821","19782","3668","21283","5659","134063"
"Bern","2014","847849","450313","137354","55830","551","30879","12321","151665"
"Freiburg","2014","246170","31222","152193","8831","0","9802","1870","38365"
"Solothurn","2014","222919","48719","79071","11192","0","15943","3350","62660"
"Neuenburg","2014","146165","33077","33486","6766","158","6307","1888","61095"
"Jura","2014","60021","6017","41646","1730","0","1382","435","7432"
"Basel-Stadt","2014","161226","26990","31304","9926","1066","13067","3380","73591"
"Basel-Landschaft","2014","237626","75152","66089","12827","392","11686","3874","65610"
"Aargau","2014","539723","138584","184917","36073","470","35312","6722","133778"
"Zürich","2014","1203038","364549","333663","82589","5053","76029","20580","310429"
"Glarus","2014","33297","10800","11818","1436","0","2067","551","6306"
"Schaffhausen","2014","67103","24207","15947","5367","0","4576","1040","15378"
"Appenzell A. Rh.","2014","45311","18829","13354","3344","0","1132","364","7755"
"Appenzell I. Rh.","2014","13088","1394","9666","300","0","482","0","1099"
"St. Gallen","2014","412848","89654","191739","26339","654","29123","5205","67350"
"Graubünden","2014","167111","56368","71283","6808","0","3332","1253","26377"
"Thurgau","2014","220681","74622","72507","14976","0","12704","2772","41488"
"Luzern","2014","327990","34015","207774","13971","288","13787","4022","51567"
"Uri","2014","29846","1525","23950","793","0","345","0","2951"
"Schwyz","2014","127729","14070","79173","4871","230","5999","1320","21037"
"Obwalden","2014","30646","2583","22115","848","0","939","200","3680"
"Nidwalden","2014","35765","2847","23862","1321","0","1077","280","6095"
"Zug","2014","99803","13897","53172","5346","204","4545","1422","20420"
"Tessin","2014","296844","11806","204321","15725","395","5754","1958","51710"
"Total","2015","6907818","1722222","2573443","403429","17250","351961","93396","1653568"
"Waadt","2015","630312","152724","191850","40792","2011","30000","9083","190691"
"Wallis","2015","279810","16588","203768","8447","233","8903","1406","35745"
"Genf","2015","369577","34689","127591","19841","3906","21847","6424","143699"
"Bern","2015","854618","445157","135249","58465","837","33138","14067","158270"
"Freiburg","2015","250113","30034","154231","8763","0","9438","1971","41158"
"Solothurn","2015","225152","47936","80280","11471","201","15061","3504","64566"
"Neuenburg","2015","147082","31034","34373","7795","152","5947","2078","62261"
"Jura","2015","60327","5303","40617","2664","0","1415","704","8732"
"Basel-Stadt","2015","161831","27296","28183","9859","1094","13873","3533","74825"
"Basel-Landschaft","2015","239045","72465","66432","12755","413","12057","3463","68312"
"Aargau","2015","546906","137373","182717","35509","437","35625","7296","143428"
"Zürich","2015","1219618","361295","330740","85303","6045","76180","20002","328713"
"Glarus","2015","33591","11095","11928","1251","0","2600","521","5957"
"Schaffhausen","2015","67434","24440","15245","4834","0","5531","990","15552"
"Appenzell A. Rh.","2015","45626","18309","13053","3641","0","1318","500","8423"
"Appenzell I. Rh.","2015","13179","1496","9520","566","0","320","0","1088"
"St. Gallen","2015","414554","88389","188894","26224","266","30284","5158","71183"
"Graubünden","2015","167918","54894","75695","6709","0","2972","1400","24324"
"Thurgau","2015","223317","75746","72939","14101","192","13676","2200","42803"
"Luzern","2015","331437","35296","206702","14071","247","14310","4216","54229"
"Uri","2015","29895","1552","23582","971","0","317","260","2917"
"Schwyz","2015","129023","15388","79540","5212","0","5049","743","22012"
"Obwalden","2015","30927","2318","22510","727","0","777","354","3886"
"Nidwalden","2015","36077","4098","23974","1055","0","788","254","5630"
"Zug","2015","101627","14912","51365","5993","158","4575","1559","22104"
"Tessin","2015","298822","12397","202463","16411","607","5959","1711","53057"
"Total","2016","6981381","1713117","2550647","410165","17732","362973","96354","1740917"
"Waadt","2016","640606","150596","192594","42403","1815","31864","9529","198852"
"Wallis","2016","283009","16530","201097","9016","492","9165","1856","39286"
"Genf","2016","376720","34686","125332","21920","3990","21551","6009","151694"
"Bern","2016","859534","442531","132976","57510","861","33694","13557","168953"
"Freiburg","2016","253558","31476","154038","8840","186","9901","1964","42616"
"Solothurn","2016","227461","47384","76568","12962","0","15599","3576","69771"
"Neuenburg","2016","147433","30810","31641","8103","194","6170","1681","65448"
"Jura","2016","60754","5060","41813","2280","0","1350","448","8807"
"Basel-Stadt","2016","162649","28286","29185","8681","1161","12253","3466","77321"
"Basel-Landschaft","2016","240860","75695","62649","13744","481","12803","3693","69684"
"Aargau","2016","553530","136448","181459","37991","494","38956","7097","145897"
"Zürich","2016","1234567","360633","331174","82690","6139","81224","22296","340852"
"Glarus","2016","33735","10788","10661","1925","0","2184","726","7169"
"Schaffhausen","2016","68110","24612","15398","4731","0","4513","1010","17083"
"Appenzell A. Rh.","2016","45911","17788","12752","3576","0","1552","248","9634"
"Appenzell I. Rh.","2016","13178","1572","9305","624","0","254","0","1189"
"St. Gallen","2016","418305","88377","189491","26529","435","30393","4831","74587"
"Graubünden","2016","168482","55984","71627","6141","0","3215","1720","27659"
"Thurgau","2016","226358","72973","71816","14737","192","14141","2443","48175"
"Luzern","2016","334499","33427","206909","15576","247","14844","4776","55887"
"Uri","2016","30033","1331","23703","926","0","807","0","2912"
"Schwyz","2016","130566","14456","78088","5653","0","5042","1227","24893"
"Obwalden","2016","31169","2444","22313","794","0","811","245","4220"
"Nidwalden","2016","36095","3317","24553","924","0","607","240","6304"
"Zug","2016","102994","14566","52791","5496","175","4603","1608","22942"
"Tessin","2016","301265","11346","200714","16392","381","5477","1943","59078"
